permit_number,inspection_date,inspection_type,result,notes,inspector_name,reinspection_flag,source_url
ELS-2026-0213,2026-04-15,Rough-in,Pass,Service raceway and grounding path acceptable before release inspection.,Inspector Khan,false,https://example.local/dallas/inspections/ELS-2026-0213/1
ELS-2026-0213,2026-04-18,Service release,Fail,Exterior disconnect not labeled and service panel deadfront missing before utility release.,Inspector Khan,false,https://example.local/dallas/inspections/ELS-2026-0213/2
ELS-2026-0213,2026-04-23,Correction follow-up,Pass,Disconnect labeling added and service panel deadfront secured for release approval.,Inspector Khan,true,https://example.local/dallas/inspections/ELS-2026-0213/3
ELS-2026-0214,2026-04-16,Rough-in,Pass,Meter socket location and grounding path acceptable before service release.,Inspector Khan,false,https://example.local/dallas/inspections/ELS-2026-0214/1
ELS-2026-0214,2026-04-20,Service release,Fail,Service panel deadfront incomplete and exterior disconnect labeling missing at release inspection.,Inspector Khan,false,https://example.local/dallas/inspections/ELS-2026-0214/2
ELS-2026-0214,2026-04-25,Correction follow-up,Pass,Deadfront secured and exterior disconnect labels installed for release approval.,Inspector Khan,true,https://example.local/dallas/inspections/ELS-2026-0214/3
ELZ-2026-0215,2026-04-22,Rough-in,Partial,Ceiling junction cover and hallway trim incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0215/1
ELZ-2026-0215,2026-04-27,Correction follow-up,Pass,Remaining trim and junction cover completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0215/2
PLM-2026-0206,2026-04-11,Final,Pass,Plumbing final approved.,Inspector Green,false,https://example.local/dallas/inspections/PLM-2026-0206/1
ELZ-2026-0216,2026-04-26,Rough-in,Partial,Remaining junction cover and hallway trim incomplete before repair rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0216/1
ELZ-2026-0216,2026-05-01,Correction follow-up,Pass,Remaining cover and trim completed for repair approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0216/2
ELZ-2026-0217,2026-04-28,Final,Not Ready,Locked gate blocked final inspection access for porch circuit trim verification.,Inspector Rivera,false,https://example.local/dallas/inspections/ELZ-2026-0217/1
ELZ-2026-0217,2026-05-03,Correction follow-up,Pass,Access confirmed and final trim verified for repair approval.,Inspector Rivera,true,https://example.local/dallas/inspections/ELZ-2026-0217/2
ELZ-2026-0218,2026-05-01,Rough-in,Partial,Kitchen branch wiring repaired but GFCI device and island receptacle trim remained incomplete.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0218/1
ELZ-2026-0218,2026-05-06,Correction follow-up,Pass,GFCI protection installed and missing device completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0218/2
ELZ-2026-0219,2026-05-03,Rough-in,Partial,Bathroom branch wiring repaired but AFCI breaker and receptacle trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0219/1
ELZ-2026-0219,2026-05-08,Correction follow-up,Pass,AFCI protection installed and receptacle trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0219/2
ELZ-2026-0220,2026-05-05,Rough-in,Partial,Bedroom branch wiring repaired but replacement receptacle devices and wall trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0220/1
ELZ-2026-0220,2026-05-10,Correction follow-up,Pass,Replacement receptacle devices installed and wall trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0220/2
ELZ-2026-0221,2026-05-07,Rough-in,Partial,Laundry branch wiring repaired but replacement device boxes and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0221/1
ELZ-2026-0221,2026-05-12,Correction follow-up,Pass,Replacement device boxes installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0221/2
ELZ-2026-0222,2026-05-09,Rough-in,Partial,Pantry branch wiring repaired but replacement junction covers and device trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0222/1
ELZ-2026-0222,2026-05-14,Correction follow-up,Pass,Replacement junction covers installed and device trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0222/2
ELZ-2026-0223,2026-05-11,Rough-in,Partial,Closet branch wiring repaired but replacement switch boxes and device trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0223/1
ELZ-2026-0223,2026-05-16,Correction follow-up,Pass,Replacement switch boxes installed and device trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0223/2
ELZ-2026-0224,2026-05-13,Rough-in,Partial,Dining branch wiring repaired but replacement dimmer devices and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0224/1
ELZ-2026-0224,2026-05-18,Correction follow-up,Pass,Replacement dimmer devices installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0224/2
ELZ-2026-0225,2026-05-15,Rough-in,Partial,Hallway branch wiring repaired but replacement occupancy sensors and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0225/1
ELZ-2026-0225,2026-05-20,Correction follow-up,Pass,Replacement occupancy sensors installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0225/2
ELZ-2026-0226,2026-05-17,Rough-in,Partial,Stairwell branch wiring repaired but replacement smoke alarms and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0226/1
ELZ-2026-0226,2026-05-22,Correction follow-up,Pass,Replacement smoke alarms installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0226/2
ELZ-2026-0227,2026-05-18,Rough-in,Partial,Attic branch wiring repaired but replacement light fixtures and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0227/1
ELZ-2026-0227,2026-05-23,Correction follow-up,Pass,Replacement light fixtures installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0227/2
ELZ-2026-0228,2026-05-19,Rough-in,Partial,Garage branch wiring repaired but replacement weatherproof covers and exterior trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0228/1
ELZ-2026-0228,2026-05-23,Correction follow-up,Pass,Replacement weatherproof covers installed and exterior trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0228/2
ELZ-2026-0229,2026-05-20,Rough-in,Partial,Porch branch wiring repaired but replacement exterior GFCI devices and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0229/1
ELZ-2026-0229,2026-05-23,Correction follow-up,Pass,Replacement exterior GFCI devices installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0229/2
ELZ-2026-0230,2026-05-21,Rough-in,Partial,Laundry branch wiring repaired but replacement exhaust fan timer devices and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0230/1
ELZ-2026-0230,2026-05-23,Correction follow-up,Pass,Replacement exhaust fan timer devices installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0230/2
ELZ-2026-0231,2026-05-22,Rough-in,Partial,Pantry branch wiring repaired but replacement under-cabinet lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0231/1
ELZ-2026-0231,2026-05-23,Correction follow-up,Pass,Replacement under-cabinet lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0231/2
ELZ-2026-0232,2026-05-22,Rough-in,Partial,Sunroom branch wiring repaired but replacement pendant fixtures and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0232/1
ELZ-2026-0232,2026-05-23,Correction follow-up,Pass,Replacement pendant fixtures installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0232/2
ELZ-2026-0233,2026-05-22,Rough-in,Partial,Den branch wiring repaired but replacement recessed lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0233/1
ELZ-2026-0233,2026-05-23,Correction follow-up,Pass,Replacement recessed lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0233/2
ELZ-2026-0234,2026-05-22,Rough-in,Partial,Bedroom branch wiring repaired but replacement vanity lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0234/1
ELZ-2026-0234,2026-05-23,Correction follow-up,Pass,Replacement vanity lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0234/2
ELZ-2026-0235,2026-05-22,Rough-in,Partial,Hallway branch wiring repaired but replacement sconce lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0235/1
ELZ-2026-0235,2026-05-23,Correction follow-up,Pass,Replacement sconce lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0235/2
ELZ-2026-0236,2026-05-22,Rough-in,Partial,Foyer branch wiring repaired but replacement track lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0236/1
ELZ-2026-0236,2026-05-23,Correction follow-up,Pass,Replacement track lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0236/2
ELZ-2026-0237,2026-05-22,Rough-in,Partial,Living room branch wiring repaired but replacement ceiling fan controls and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0237/1
ELZ-2026-0237,2026-05-23,Correction follow-up,Pass,Replacement ceiling fan controls installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0237/2
ELZ-2026-0238,2026-05-22,Rough-in,Partial,Dining room branch wiring repaired but replacement chandelier controls and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0238/1
ELZ-2026-0238,2026-05-23,Correction follow-up,Pass,Replacement chandelier controls installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0238/2
ELZ-2026-0239,2026-05-22,Rough-in,Partial,Porch branch wiring repaired but replacement exterior coach lights and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0239/1
ELZ-2026-0239,2026-05-23,Correction follow-up,Pass,Replacement exterior coach lights installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0239/2
ELZ-2026-0240,2026-05-22,Rough-in,Partial,Back porch branch wiring repaired but replacement motion-sensor lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0240/1
ELZ-2026-0240,2026-05-23,Correction follow-up,Pass,Replacement motion-sensor lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0240/2
ELZ-2026-0241,2026-05-22,Rough-in,Partial,Side yard branch wiring repaired but replacement security floodlights and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0241/1
ELZ-2026-0241,2026-05-23,Correction follow-up,Pass,Replacement security floodlights installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0241/2
ELZ-2026-0242,2026-05-22,Rough-in,Partial,Front walk branch wiring repaired but replacement pathway lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0242/1
ELZ-2026-0242,2026-05-23,Correction follow-up,Pass,Replacement pathway lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0242/2
ELZ-2026-0243,2026-05-22,Rough-in,Partial,Driveway branch wiring repaired but replacement bollard lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0243/1
ELZ-2026-0243,2026-05-23,Correction follow-up,Pass,Replacement bollard lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0243/2
ELZ-2026-0244,2026-05-22,Rough-in,Partial,Alley branch wiring repaired but replacement gate lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0244/1
ELZ-2026-0244,2026-05-23,Correction follow-up,Pass,Replacement gate lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0244/2
ELZ-2026-0245,2026-05-22,Rough-in,Partial,Detached garage branch wiring repaired but replacement task lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0245/1
ELZ-2026-0245,2026-05-23,Correction follow-up,Pass,Replacement task lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0245/2
ELZ-2026-0246,2026-05-22,Rough-in,Partial,Carport branch wiring repaired but replacement canopy lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0246/1
ELZ-2026-0246,2026-05-23,Correction follow-up,Pass,Replacement canopy lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0246/2
ELZ-2026-0247,2026-05-22,Rough-in,Partial,Rear entry branch wiring repaired but replacement step lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0247/1
ELZ-2026-0247,2026-05-23,Correction follow-up,Pass,Replacement step lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0247/2
ELZ-2026-0248,2026-05-22,Rough-in,Partial,Laundry room branch wiring repaired but replacement utility lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0248/1
ELZ-2026-0248,2026-05-23,Correction follow-up,Pass,Replacement utility lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0248/2
ELZ-2026-0249,2026-05-22,Rough-in,Partial,Mudroom branch wiring repaired but replacement closet lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0249/1
ELZ-2026-0249,2026-05-23,Correction follow-up,Pass,Replacement closet lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0249/2
ELZ-2026-0250,2026-05-22,Rough-in,Partial,Storage room branch wiring repaired but replacement recessed closet fixtures and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0250/1
ELZ-2026-0250,2026-05-23,Correction follow-up,Pass,Replacement recessed closet fixtures installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0250/2
ELZ-2026-0251,2026-05-22,Rough-in,Partial,Pantry branch wiring repaired but replacement under-shelf lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0251/1
ELZ-2026-0251,2026-05-23,Correction follow-up,Pass,Replacement under-shelf lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0251/2
ELZ-2026-0252,2026-05-22,Rough-in,Partial,Hall closet branch wiring repaired but replacement shelf lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0252/1
ELZ-2026-0252,2026-05-23,Correction follow-up,Pass,Replacement shelf lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0252/2
ELZ-2026-0253,2026-05-22,Rough-in,Partial,Linen closet branch wiring repaired but replacement ceiling lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0253/1
ELZ-2026-0253,2026-05-23,Correction follow-up,Pass,Replacement ceiling lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0253/2
ELZ-2026-0254,2026-05-22,Rough-in,Partial,Entry closet branch wiring repaired but replacement pendant lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0254/1
ELZ-2026-0254,2026-05-23,Correction follow-up,Pass,Replacement pendant lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0254/2
ELZ-2026-0255,2026-05-22,Rough-in,Partial,Bedroom closet branch wiring repaired but replacement cove lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0255/1
ELZ-2026-0255,2026-05-23,Correction follow-up,Pass,Replacement cove lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0255/2
ELZ-2026-0256,2026-05-22,Rough-in,Partial,Primary closet branch wiring repaired but replacement mirror lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0256/1
ELZ-2026-0256,2026-05-23,Correction follow-up,Pass,Replacement mirror lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0256/2
ELZ-2026-0257,2026-05-22,Rough-in,Partial,Guest closet branch wiring repaired but replacement strip lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0257/1
ELZ-2026-0257,2026-05-23,Correction follow-up,Pass,Replacement strip lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0257/2
ELZ-2026-0258,2026-05-22,Rough-in,Partial,Utility closet branch wiring repaired but replacement linear lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0258/1
ELZ-2026-0258,2026-05-23,Correction follow-up,Pass,Replacement linear lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0258/2
ELZ-2026-0259,2026-05-22,Rough-in,Partial,Laundry closet branch wiring repaired but replacement tape lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0259/1
ELZ-2026-0259,2026-05-23,Correction follow-up,Pass,Replacement tape lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0259/2
ELZ-2026-0260,2026-05-22,Rough-in,Partial,Pantry closet branch wiring repaired but replacement puck lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0260/1
ELZ-2026-0260,2026-05-23,Correction follow-up,Pass,Replacement puck lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0260/2
ELZ-2026-0261,2026-05-22,Rough-in,Partial,Storage closet branch wiring repaired but replacement rail lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0261/1
ELZ-2026-0261,2026-05-23,Correction follow-up,Pass,Replacement rail lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0261/2
ELZ-2026-0262,2026-05-22,Rough-in,Partial,Rear closet branch wiring repaired but replacement channel lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0262/1
ELZ-2026-0262,2026-05-23,Correction follow-up,Pass,Replacement channel lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0262/2
ELZ-2026-0263,2026-05-22,Rough-in,Partial,Hall closet branch wiring repaired but replacement rod lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0263/1
ELZ-2026-0263,2026-05-23,Correction follow-up,Pass,Replacement rod lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0263/2
ELZ-2026-0264,2026-05-22,Rough-in,Partial,Front closet branch wiring repaired but replacement track lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0264/1
ELZ-2026-0264,2026-05-23,Correction follow-up,Pass,Replacement track lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0264/2
ELZ-2026-0265,2026-05-22,Rough-in,Partial,Back hall closet branch wiring repaired but replacement bar lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0265/1
ELZ-2026-0265,2026-05-23,Correction follow-up,Pass,Replacement bar lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0265/2
ELZ-2026-0266,2026-05-22,Rough-in,Partial,Stair closet branch wiring repaired but replacement bulkhead lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0266/1
ELZ-2026-0266,2026-05-23,Correction follow-up,Pass,Replacement bulkhead lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0266/2
ELZ-2026-0267,2026-05-22,Rough-in,Partial,Linen closet branch wiring repaired but replacement shelf lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0267/1
ELZ-2026-0267,2026-05-23,Correction follow-up,Pass,Replacement shelf lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0267/2
